"","x"
"BDI1|t1",-0.470079986348763
"BDI1|t2",0.419607735474048
"BDI1|t3",1.3522611329327
"BDI2|t1",-0.657844124431858
"BDI2|t2",0.313633527632384
"BDI2|t3",1.05419573333245
"BDI3|t1",-0.6020926571593
"BDI3|t2",0.461587863272326
"BDI3|t3",1.12309258196135
"BDI4|t1",-0.419607735474048
"BDI4|t2",0.557029024501658
"BDI4|t3",1.57393914165513
"BDI5|t1",-0.337735778521863
"BDI5|t2",0.403024649365829
"BDI5|t3",1.05419573333245
"BDI6|t1",0.218874616232154
"BDI6|t2",0.817970801232686
"BDI6|t3",1.26272804920254
"BDI7|t1",-0.487167242009859
"BDI7|t2",0.305640448965957
"BDI7|t3",0.883623116433668
"BDI8|t1",-0.735547571677327
"BDI8|t2",-0.126045322299528
"BDI8|t3",0.487167242009859
"BDI9|t1",-0.386551666592813
"BDI9|t2",1.0151582570547
"BDI9|t3",2.09160165759702
"BDI10|t1",-0.321646694819481
"BDI10|t2",0.513069457231638
"BDI10|t3",1.02799672596566
"BDI11|t1",-0.557029024501658
"BDI11|t2",0.530529760189066
"BDI11|t3",1.49952070354129
"BDI12|t1",-0.0190484791916386
"BDI12|t2",0.941390931206863
"BDI12|t3",2.09160165759702
"BDI13|t1",-0.444702234354352
"BDI13|t2",0.403024649365828
"BDI13|t3",1.65826278182637
"BDI14|t1",-0.0190484791916386
"BDI14|t2",0.378354622150934
"BDI14|t3",0.611250985067199
"BDI15|t1",-0.725598230194562
"BDI15|t2",0.218874616232154
"BDI15|t3",1.65826278182637
"BDI16|t1",-0.427942465322373
"BDI16|t2",0.941390931206863
"BDI16|t3",1.62885619582463
"BDI17|t1",-0.461587863272326
"BDI17|t2",0.242347851741802
"BDI17|t3",1.39130242561477
"BDI18|t1",0.141420204336058
"BDI18|t2",0.91791644010425
"BDI18|t3",1.79315384254884
"BDI19|t1",0.90636698513437
"BDI19|t2",1.47647049909889
"BDI19|t3",1.68917754768441
"BDI20|t1",0.329680568928682
"BDI20|t2",1.297297409511
"BDI20|t3",1.72179653240106
"BDI21|t1",0.648413833783186
"BDI21|t2",1.1977790646212
"BDI21|t3",1.65826278182637
"PQB1|t1",0.211077563269348
"PQB1|t2",0.258070389343968
"PQB1|t3",0.362035866875329
"PQB1|t4",0.69617029453035
"PQB1|t5",1.65826278182637
"PQB2|t1",0.386551666592813
"PQB2|t2",0.470079986348763
"PQB2|t3",0.574913877299364
"PQB2|t4",1.0151582570547
"PQB2|t5",1.75635767141396
"PQB3|t1",0.977609539943202
"PQB3|t2",1.12309258196135
"PQB3|t3",1.21353847867246
"PQB3|t4",1.8750178088955
"PQB3|t5",2.50752335367899
"PQB4|t1",1.0151582570547
"PQB4|t2",1.09490962703791
"PQB4|t3",1.1977790646212
"PQB4|t4",1.54817342801989
"PQB4|t5",2.50752335367898
"PQB5|t1",0.0419163912621974
"PQB5|t2",0.0800842957968131
"PQB5|t3",0.141420204336058
"PQB5|t4",0.504397943475207
"PQB5|t5",1.4541791047947
"PQB6|t1",0.297666850186396
"PQB6|t2",0.403024649365828
"PQB6|t3",0.6020926571593
"PQB6|t4",1.12309258196135
"PQB6|t5",2.09160165759702
"PQB8|t1",-0.242347851741802
"PQB8|t2",-0.156828591117625
"PQB8|t3",-0.0495433112291662
"PQB8|t4",0.329680568928682
"PQB8|t5",1.15219702095929
"PQB9|t1",0.705911523137174
"PQB9|t2",0.786437976457284
"PQB9|t3",0.828663521598211
"PQB9|t4",1.1977790646212
"PQB9|t5",1.92116232532314
"PQB10|t1",0.592984553981632
"PQB10|t2",0.620460871482203
"PQB10|t3",0.765844223575195
"PQB10|t4",1.22960519208125
"PQB10|t5",1.92116232532314
"PQB11|t1",0.461587863272326
"PQB11|t2",0.487167242009859
"PQB11|t3",0.557029024501658
"PQB11|t4",0.786437976457284
"PQB11|t5",1.57393914165513
"PQB13|t1",0.487167242009859
"PQB13|t2",0.583925380207532
"PQB13|t3",0.696170294530351
"PQB13|t4",1.05419573333245
"PQB13|t5",1.62885619582463
"PQB14|t1",0.0800842957968131
"PQB14|t2",0.133728811791069
"PQB14|t3",0.242347851741802
"PQB14|t4",0.69617029453035
"PQB14|t5",1.47647049909889
"PQB15|t1",0.817970801232686
"PQB15|t2",0.941390931206863
"PQB15|t3",1.04100691175612
"PQB15|t4",1.4541791047947
"PQB15|t5",2.16490270820063
"PQB16|t1",1.16712202553844
"PQB16|t2",1.22960519208125
"PQB16|t3",1.33349071451687
"PQB16|t4",1.60079427337588
"PQB16|t5",1.8750178088955
"PQB17|t1",0.513069457231638
"PQB17|t2",0.583925380207532
"PQB17|t3",0.676882917788605
"PQB17|t4",1.16712202553844
"PQB17|t5",1.79315384254884
"PQB18|t1",-0.195521379248017
"PQB18|t2",-0.0953810617123982
"PQB18|t3",0.0495433112291659
"PQB18|t4",0.530529760189066
"PQB18|t5",1.47647049909889
"PQB19|t1",0.817970801232686
"PQB19|t2",0.91791644010425
"PQB19|t3",1.06757052387814
"PQB19|t4",1.31517871154764
"PQB19|t5",2.16490270820063
"PQB20|t1",1.00248496911743
"PQB20|t2",1.06757052387814
"PQB20|t3",1.21353847867246
"PQB20|t4",1.4541791047947
"PQB20|t5",1.97180195718223
"PQB21|t1",0.378354622150934
"PQB21|t2",0.521779724537257
"PQB21|t3",0.686494683398709
"PQB21|t4",1.22960519208125
"PQB21|t5",2.09160165759702
