"","PQBsum_cust","PQBsensdist","PQBparanoia","PQBdisorgspeech","PQBgrand","PQBunusualthought","BDIcog","BDIsomaff","BDIguiltypun","BDIsum"
"PQBsum_cust",1,0.815911107596995,0.620529377771456,0.518628501652891,0.369780341231667,0.843314057914013,0.455309811366218,0.520595121343933,0.511284715908948,0.522469369366584
"PQBsensdist",0.815911107596995,1,0.381608239972594,0.414399133414747,0.300000319868151,0.670775671083523,0.27752890093009,0.340055844413354,0.3379284176038,0.334517686850266
"PQBparanoia",0.620529377771456,0.381608239972594,1,0.385294885336349,0.222527317597734,0.536955019273742,0.399059654344085,0.394934399788946,0.387869926640132,0.415933523923179
"PQBdisorgspeech",0.518628501652891,0.414399133414747,0.385294885336349,1,0.254909658773115,0.422879597818682,0.183720786475721,0.271250271899677,0.23704162019216,0.249802532787357
"PQBgrand",0.369780341231667,0.300000319868151,0.222527317597734,0.254909658773115,1,0.349347389294558,0.0696063519036308,0.146885983375733,0.141590897480876,0.122659142450597
"PQBunusualthought",0.843314057914013,0.670775671083523,0.536955019273742,0.422879597818682,0.349347389294558,1,0.399118570373083,0.482546245293458,0.464626525145931,0.472197092889949
"BDIcog",0.455309811366218,0.27752890093009,0.399059654344085,0.183720786475721,0.0696063519036308,0.399118570373083,1,0.862049393616792,0.839927276532497,0.957322311007474
"BDIsomaff",0.520595121343933,0.340055844413354,0.394934399788946,0.271250271899677,0.146885983375733,0.482546245293458,0.862049393616792,1,0.824236896204154,0.961002377589314
"BDIguiltypun",0.511284715908948,0.3379284176038,0.387869926640132,0.23704162019216,0.141590897480876,0.464626525145931,0.839927276532497,0.824236896204154,1,0.902863608896467
"BDIsum",0.522469369366584,0.334517686850266,0.415933523923179,0.249802532787357,0.122659142450597,0.472197092889949,0.957322311007474,0.961002377589314,0.902863608896467,1
